,URIs,"(index, label)"
275,"(603, 62, 143, 144, 26, 604, 605)","(275, 'eingriff an patient patientin mit lungenkrankheit vornehmen')"
276,"(606, 28, 29, 607, 9, 608, 165)","(276, 'umwelteinflüß auf der klaue von rind beurteilen')"
277,"(609, 151)","(277, 'fassadenverkleidung vorbereiten')"
278,"(610, 9, 611)","(278, 'typologie von fleischteile')"
279,"(612,)","(279, 'sonnenenergie')"
280,"(613,)","(280, 'essstörung')"
281,"(614, 58)","(281, 'quersag bedienen')"
282,"(615, 28, 616, 617)","(282, 'klebstoff auf schicht legen')"
283,"(618,)","(283, 'kundenkenntni')"
284,"(619,)","(284, 'crimpe')"
285,"(620, 9, 621, 622)","(285, 'großtransport von rohstoff handhaben')"
286,"(29, 623, 26, 29, 624, 625)","(286, 'der tauchgang mit der team besprechen')"
287,"(626, 222)","(287, 'nutzpflanze überwachen')"
288,"(627, 93, 628, 180)","(288, 'cad-technik für sohle verwenden')"
289,"(629, 630)","(289, '3d-umgebung erschaffen')"
290,"(631, 18)","(290, 'online-datenanalyse durchführen')"
291,"(632, 269)","(291, 'verlegeplan erstellen')"
292,"(633, 275)","(292, 'papierproduktionsprobe prüfen')"
293,"(634, 93, 29, 635, 9, 636, 637)","(293, 'genehmigung für der nutzung von bodenressource erteilen')"
294,"(638, 639)","(294, 'it-sicherheits-compliance durchsetzen')"
295,"(26, 640, 51, 9, 641, 642)","(295, 'mit lieferant und von bildmaterial verhandeln')"
296,"(643, 1)","(296, 'flexodruckverfahr verwalten')"
297,"(644, 93, 380, 645)","(297, 'handbücher für elektrisch bergbaumaschine')"
298,"(646, 9, 647)","(298, 'endbearbeitung von schuhwerk')"
299,"(296, 93, 29, 648, 473)","(299, 'tier für der transport verladen')"
300,"(649, 605)","(300, 'venenpunktione vornehmen')"
301,"(650, 651)","(301, 'film laden')"
302,"(652, 622)","(302, 'kältemittelpumpe handhaben')"
303,"(653, 654)","(303, 'fischkadaver einsammeln')"
304,"(655, 42)","(304, 'sprinkleranlage entwickeln')"
305,"(656, 462, 15)","(305, 'statistisch muster ermitteln')"
306,"(657, 658)","(306, 'chirurgisch instrument')"
307,"(659, 660)","(307, 'zuckerraffination messen')"
308,"(661, 18)","(308, 'produktvorbereitung durchführen')"
309,"(662, 663)","(309, 'archäologie unterrichten')"
310,"(664, 58)","(310, 'ölpumpensystem bedienen')"
311,"(665, 58)","(311, 'schälmaschin bedienen')"
312,"(297, 65, 29, 483, 107, 296, 299)","(312, 'sich in der situation ein tier einfühlen')"
313,"(666, 51, 667)","(313, 'molekular und zellimmunologie')"
314,"(186, 226, 668, 188)","(314, 'durchführbarkeitsstudie über kleinwindkraftanlage ausführen')"
315,"(669, 222)","(315, 'lehrplanumsetzung überwachen')"
316,"(370, 670)","(316, 'wein lesen')"
317,"(29, 671, 283, 29, 672, 673)","(317, 'der diätetisch qualität der pflege erkennen')"
318,"(674, 222)","(318, 'behältertemperatur überwachen')"
319,"(675,)","(319, 'arbeitsplatzhygiene')"
320,"(676, 58)","(320, 'zentrifuge bedienen')"
321,"(677, 178)","(321, 'ernte organisieren')"
322,"(65, 678, 679, 458, 680)","(322, 'in ofen gebrannt erzeugnis befördern')"
323,"(681, 28, 682, 29, 382, 683)","(323, 'schnee auf betriebsfläche der flughafen beseitigen')"
324,"(684, 685, 65, 686, 687)","(324, 'unvorhergesehen vorfall in gastgewerbe bewältigen')"
325,"(688, 132)","(325, 'schneidausrüstung warten')"
326,"(689,)","(326, 'nasstaumel')"
327,"(29, 690, 691, 93, 29, 558, 293)","(327, 'der optimal zeitpunkt für der besamung berechnen')"
328,"(692, 65, 693, 694, 695)","(328, 'stichwörter in vollständig text umsetzen')"
329,"(107, 696, 697, 37)","(329, 'ein zahnärztlich praxisteam leiten')"
330,"(698, 699)","(330, 'arbeitsumfeld sterilisieren')"
331,"(700, 65, 446, 701)","(331, 'keyword in digital inhalt')"
332,"(702, 9, 703, 28, 29, 704, 7)","(332, 'erkenntnis von nachbarwissenschaften auf der musiktherapie anwenden')"
333,"(705,)","(333, 'rechtswissenschaft')"
334,"(706, 707)","(334, 'managementstrateg ändern')"
335,"(708, 709)","(335, 'theoretisch lexikografie')"
336,"(26, 710, 711, 9, 174, 40)","(336, 'mit gesundheitlich problem von kind umgehen')"
337,"(712, 58)","(337, 'fettpresse bedienen')"
338,"(713, 60, 714, 715)","(338, 'kompetenz bei verpackungsstandard beweisen')"
339,"(119, 120, 716, 122)","(339, 'beratung zu verbraucherrecht leisten')"
340,"(717, 718)","(340, 'medizinprodukt modellieren')"
341,"(719, 720)","(341, 'filmspul markieren')"
342,"(721,)","(342, 'energiemarkt')"
343,"(722, 59, 529)","(343, 'seismisch gerät konstruieren')"
344,"(723, 724)","(344, 'holz stapeln')"
345,"(725, 107, 146, 29, 726, 1)","(345, 'finanzmittel ein einrichtung der gesundheitssystem verwalten')"
346,"(727, 43, 728, 729)","(346, 'pflanze als biomaß anbauen')"
347,"(730, 731, 180)","(347, 'experience maps verwenden')"
348,"(732,)","(348, 'naturkatastrophenschutz')"
349,"(733, 33, 29, 734)","(349, 'allgemein grundsatz der lebensmittelrecht')"
350,"(87, 735, 29, 736, 37)","(350, 'technisch aspekt der weinbauproduktion leiten')"
351,"(737, 9, 738, 739)","(351, 'hydraulik von warmwassersysteme abgleichen')"
352,"(740, 741, 742)","(352, 'wassergespei teleskopstangensystem benutzen')"
353,"(743, 9, 744, 1)","(353, 'finanz von sporteinrichtunge verwalten')"
354,"(29, 745, 746, 747, 15)","(354, 'der informationsbedarf jung mensch ermitteln')"
355,"(748, 51, 749)","(355, 'fusion und übernahme')"
356,"(750, 751, 752, 1)","(356, 'staatlich finanziert programm verwalten')"
357,"(753, 9, 754)","(357, 'regel von pferderenn')"
358,"(755,)","(358, 'untertitelungs-software')"
359,"(456, 93, 756, 459)","(359, 'bestellung für bekleidungsartikel aufgeben')"
360,"(757, 58)","(360, 'tissuepapierbind bedienen')"
361,"(333, 120, 758, 176)","(361, 'information zu arzneimittel bereitstellen')"
362,"(26, 759, 65, 760, 761)","(362, 'mit fachkraft in bildungswesen zusammenarbeiten')"
363,"(762, 763)","(363, 'samen einbringen')"
364,"(87, 205, 93, 29, 764)","(364, 'technisch ausrüstung für der pflanzenbau')"
365,"(765, 58)","(365, 'lagergerät bedienen')"
366,"(766, 767)","(366, 'datum normalisieren')"
367,"(768, 461)","(367, 'okzitanisch sprechen')"
368,"(337, 769, 9, 770)","(368, 'sicher anwendung von pestizide')"
369,"(28, 771, 9, 772, 773, 774)","(369, 'auf beschwerde von besucher besucherin antworten')"
370,"(775, 461)","(370, 'tschechisch sprechen')"
371,"(99, 120, 372, 9, 776, 777)","(371, 'maschine zu herstellung von tabakprodukt befüllen')"
372,"(778,)","(372, 'glashärtung')"
373,"(779, 59)","(373, 'elektrooptisch gerät')"
374,"(780,)","(374, 'elektronenstrahlschweiß-maschinenteil')"
375,"(65, 107, 781, 508, 49)","(375, 'in ein international umfeld arbeiten')"
376,"(782, 142)","(376, 'siloanlage untersuchen')"
377,"(783, 784)","(377, 'wettinformation ausstellen')"
