,concept_uri,preferred_label
181,http://data.europa.eu/esco/skill/041977c2-0a83-4e9d-adb0-f984bcedba82,Anzeige von Fahrgastinformationen aktualisieren
182,http://data.europa.eu/esco/skill/042e1e68-b190-47c0-8f0d-ff312fc25b71,Betrieb auf Vorplatz führen
183,http://data.europa.eu/esco/skill/042f91e3-cccc-4d51-b635-bb14ffe90cfc,Fracht entladen
184,http://data.europa.eu/esco/skill/0435fe96-523f-4888-a76f-22df1e92d9c4,Fotogrammetrie
185,http://data.europa.eu/esco/skill/04383349-705d-4da7-ae05-12b8c84d6bf1,sich mit Programmgestaltern/Programmgestalterinnen hinsichtlich der geplanten Beratertätigkeit abstimmen
186,http://data.europa.eu/esco/skill/043c477b-71f6-43e9-8927-ca854fc55252,Glücksspielregeln mitteilen
187,http://data.europa.eu/esco/skill/043f1a88-7faa-4d56-b220-5428741c6a75,Zugabfahrten kontrollieren
188,http://data.europa.eu/esco/skill/043f3cba-7827-4a1f-9a87-7775ca01ec9d,mit zahnmedizinischen Werkstoffen umgehen
189,http://data.europa.eu/esco/skill/04455dce-a796-4a1f-bd07-ad42bdbda180,forensische Pathologie
190,http://data.europa.eu/esco/skill/04473991-161d-46db-8684-0d5ed6cb6c66,temporäre IKT-Netze für Live-Auftritte verwalten
191,http://data.europa.eu/esco/skill/0449bf39-a288-4ecc-823a-3d194be5e932,Techniken der Blutabnahme
192,http://data.europa.eu/esco/skill/0450eaee-1a00-4622-8f4e-5356fce816d2,Hygiene im Gesundheitsbereich
193,http://data.europa.eu/esco/skill/0450f6a4-495e-4484-b11f-84e8c12ac5f9,Bierrezepte kreieren
194,http://data.europa.eu/esco/skill/04512804-4c83-4e1c-a963-02c58e918240,Herstellung von Kunststoffprodukten abschließen
195,http://data.europa.eu/esco/skill/0458f6a0-cb54-4ff5-a543-b2c5354e17c0,beim digitalen Wandel industrieller Prozesse auf dem neuesten Stand sein
196,http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,andere beraten
197,http://data.europa.eu/esco/skill/0460013b-e73a-4200-8c11-88b3b60a222a,Spiralbindungen von Hand fertigen
198,http://data.europa.eu/esco/skill/04666ae0-ad33-41b2-8977-7121583799d3,Bestellungen für orthopädische Erzeugnisse aufgeben
199,http://data.europa.eu/esco/skill/047218cf-3974-4148-86f8-31464253aa08,Bosnisch sprechen
200,http://data.europa.eu/esco/skill/0476ca2b-f84e-4657-95b1-ad80bc48d002,Muster einprägen
201,http://data.europa.eu/esco/skill/047ceb23-1eb3-4889-a07f-84a1e4b85bff,Geräte zum Entladen von Mehl überwachen
202,http://data.europa.eu/esco/skill/047fcf0a-2936-49fb-b4eb-97cdd8d09d0b,gesetzlich vorgeschriebene Geschäftsbücher aktuell halten
203,http://data.europa.eu/esco/skill/04838ae5-a737-48a0-a782-3d1b6b6cb75b,Wäsche waschen
204,http://data.europa.eu/esco/skill/04880044-9668-45b8-b888-f3d9894bac9f,häusliche Krankenversorgung für Patienten/Patientinnen organisieren
205,http://data.europa.eu/esco/skill/048affec-04db-4bd5-b7a6-c666d16c0fef,Fracht verladen
206,http://data.europa.eu/esco/skill/048f04c9-83b1-48cd-9ac9-16a433695a61,Krankengeschichten übermitteln
207,http://data.europa.eu/esco/skill/048f3205-6b1a-43e0-9f76-8c43562c6140,Emaillequalität überprüfen
208,http://data.europa.eu/esco/skill/049115cd-da38-499e-8544-4afdb6a4abee,Mönch- und Nonnentum
209,http://data.europa.eu/esco/skill/049b5d37-aab3-4b6a-a505-bf254a434b5d,geschriebenes Lettisch verstehen
210,http://data.europa.eu/esco/skill/049bc175-3f03-4311-8e5d-bbac9e4c2e6c,überschüssiges Material abschneiden
211,http://data.europa.eu/esco/skill/049c8caf-dd12-45fc-9bfa-b64051f32a19,auf sich verändernde Situationen im Gesundheitswesen reagieren
212,http://data.europa.eu/esco/skill/049de1f6-34ec-46f9-a0b1-8fc6f0199413,Finnisch schreiben
213,http://data.europa.eu/esco/skill/04a33cf1-06ec-4a34-8a88-a0beca3ce9e8,Trocknungsanlage beaufsichtigen
214,http://data.europa.eu/esco/skill/04a97507-f019-4b5c-ae52-46224922ce25,Frachtzahlungsmethoden verwalten
215,http://data.europa.eu/esco/skill/04b90037-ae21-48dc-9448-f0b3eef05b33,Inventar für Lebensmittellabor pflegen
216,http://data.europa.eu/esco/skill/04b9627c-80a2-4723-9f07-46e76e11d09a,Vorschriften für Straßenbahnen
217,http://data.europa.eu/esco/skill/04ba2e0a-a939-43ab-92fe-63f50b55c798,Zahnstatus mit stark generalisierten Abrasionen rehabilitieren
218,http://data.europa.eu/esco/skill/04bcb522-62a9-4fc1-8ea9-b7ccff10147e,Flugpläne koordinieren
219,http://data.europa.eu/esco/skill/04bd6e5b-9f81-4c3d-a81f-d7ac2c08dfd9,gesprochenes Punjabi verstehen
220,http://data.europa.eu/esco/skill/04cda8e8-e06b-4c91-bbb5-27414dc1cf14,Embargobestimmungen
221,http://data.europa.eu/esco/skill/04cf164c-d07d-49cf-a1b3-84bdbd79b5cb,Büroausstattung aufstellen und einrichten
222,http://data.europa.eu/esco/skill/04dcfb3b-d6ac-4044-a35f-a633d3816c28,Beratung bei Konkursverfahren leisten
223,http://data.europa.eu/esco/skill/04dd3f36-7056-4824-9eee-b0312d4a25b7,verarbeitetes Nutzholz im kommerziellen Umfeld vertreiben
224,http://data.europa.eu/esco/skill/04dfd9fb-e0cf-40f6-96c6-9d2280c4347e,technische Dokumentation bereitstellen
