conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description,code
SkillGroup,http://data.europa.eu/esco/skill/S1.7.2,"Zusammenarbeit mit anderen, um Bedürfnisse zu ermitteln",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.7.2
SkillGroup,http://data.europa.eu/esco/skill/S1.7.3,Zuhören und Stellen von Fragen,,,released,2021-10-05T15:39:39.123Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.7.3
SkillGroup,http://data.europa.eu/esco/skill/S1.8,Zusammenarbeit mit anderen,,,released,2021-04-15T08:15:36.624Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.8
SkillGroup,http://data.europa.eu/esco/skill/S1.8.0,Zusammenarbeit mit anderen,,,released,2021-12-17T12:53:52.273Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.8.0
SkillGroup,http://data.europa.eu/esco/skill/S1.8.1,In Teams arbeiten,,,released,2021-12-17T12:57:24.271Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.8.1
SkillGroup,http://data.europa.eu/esco/skill/S1.8.2,Erteilung von Anweisungen,,,released,2020-12-11T09:17:20.734Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.8.2
SkillGroup,http://data.europa.eu/esco/skill/S1.8.3,Rückmeldung geben,,,released,2020-12-11T12:31:47.977Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.8.3
SkillGroup,http://data.europa.eu/esco/skill/S1.8.4,Rückmeldung annehmen,,,released,2021-09-13T13:31:09.209Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.8.4
SkillGroup,http://data.europa.eu/esco/skill/S1.8.5,Befolgen von Anweisungen und Verfahren,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.8.5
SkillGroup,http://data.europa.eu/esco/skill/S1.8.6,Unterstützen von Mitarbeitern,,,released,2021-09-15T14:03:28.111Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.8.6
SkillGroup,http://data.europa.eu/esco/skill/S1.9,Lösung von Problemen,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.9
SkillGroup,http://data.europa.eu/esco/skill/S1.9.0,Lösung von Problemen,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.9.0
SkillGroup,http://data.europa.eu/esco/skill/S1.9.1,Entwickeln von Lösungen,,,released,2021-12-17T12:48:43.007Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.9.1
SkillGroup,http://data.europa.eu/esco/skill/S1.9.2,Umsetzung neuer Verfahren oder Prozesse,,,released,2020-12-07T11:25:11.191Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.9.2
SkillGroup,http://data.europa.eu/esco/skill/S2,Informationskompetenzen,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S2
SkillGroup,http://data.europa.eu/esco/skill/S2.0,Informationskompetenzen,,,released,2020-12-04T16:39:09.527Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S2.0
